filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template	calibration_strand_genome_template	calibration_strand_identity_template	calibration_strand_accuracy_template	aligned_speed_bps_template
310	310	A	156	11.32105	8.22311	1651	FALSE	0	1651	8.22311	1651	256	6.427	-0.0016	filtered_out	-1	-1	0
311	311	A	151	10.88911	6.88147	1381	FALSE	0	1381	6.88147	1381	231	6.291	-0.0021	filtered_out	-1	-1	0
312	312	A	472	101.6494	5.31773	1067	FALSE	0	1067	5.31773	1067	175	6.067	-0.0027	filtered_out	-1	-1	0
313	313	A	370	129.51627	4.22908	849	FALSE	0	849	4.22908	849	161	6.973	-0.0013	filtered_out	-1	-1	0
314	314	A	121	28.56408	5.82304	1169	FALSE	0	1169	5.82304	1169	207	6.029	-0.0012	filtered_out	-1	-1	0
315	315	A	437	112.66534	15.72178	3156	TRUE	0	3156	15.72178	3156	1301	9.771	-0.0015	YHR174W	0.972125411	0.911020398	82.28900146
316	316	A	297	5.58333	6.67331	1340	FALSE	0	1340	6.67331	1340	253	6.54	-0.0024	filtered_out	-1	-1	0
317	317	A	370	142.4575	5.11687	1027	FALSE	0	1027	5.11687	1027	33	4.064	-0.0023	filtered_out	-1	-1	0
318	318	A	505	7.23074	7.04548	1414	FALSE	0	1414	7.04548	1414	192	5.637	-0.0021	filtered_out	-1	-1	0
319	319	A	274	8.67829	5.38878	1082	FALSE	0	1082	5.38878	1082	246	6.347	-0.0023	filtered_out	-1	-1	0
320	320	A	191	22.20286	3.31906	628	FALSE	0.18924	628	3.12981	628	62	3.884	-0.0016	filtered_out	-1	-1	0
321	321	A	165	21.67663	7.07968	1421	FALSE	0	1421	7.07968	1421	318	6.822	-0.0014	filtered_out	-1	-1	0
322	322	A	229	33.84064	15.2324	3058	TRUE	0	3058	15.2324	3058	1072	9.354	-0.0017	filtered_out	-1	-1	0
323	323	A	202	139.58997	8.27025	1660	TRUE	0	1660	8.27025	1660	213	7.336	-0.002	filtered_out	-1	-1	0
324	324	A	484	24.37351	3.38479	679	FALSE	0	679	3.38479	679	167	6.522	-0.0038	filtered_out	-1	-1	0
325	325	A	472	88.44389	3.68426	739	FALSE	0	739	3.68426	739	98	5.604	-0.001	filtered_out	-1	-1	0
326	326	A	373	134.89741	10.86421	2181	TRUE	0	2181	10.86421	2181	687	8.941	-0.0015	filtered_out	-1	-1	0
327	327	A	209	122.86023	3.30611	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
328	328	A	130	14.25598	9.65438	1938	TRUE	0	1938	9.65438	1938	462	8.74	-9.00E-04	filtered_out	-1	-1	0
329	329	A	195	34.33367	4.33466	870	FALSE	0	870	4.33466	870	242	6.481	-7.00E-04	filtered_out	-1	-1	0
330	330	A	61	118.48506	6.66534	1338	TRUE	0	1338	6.66534	1338	457	8.297	-0.0021	filtered_out	-1	-1	0
331	331	A	370	17.99635	3.46614	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
332	332	A	301	29.99602	3.09794	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
333	333	A	342	138.13977	13.04847	2620	TRUE	0	2620	13.04847	2620	1082	8.336	-0.0016	filtered_out	-1	-1	0
334	334	A	34	11.3081	6.40139	1285	FALSE	0	1285	6.40139	1285	163	6.73	-0.0022	filtered_out	-1	-1	0
335	335	A	35	12.75365	3.35624	673	FALSE	0	673	3.35624	673	156	6.654	-0.0019	filtered_out	-1	-1	0
336	336	A	437	147.42862	3.55445	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
337	337	A	473	15.73406	5.3838	1081	TRUE	0	1081	5.3838	1081	323	7.088	-0.0032	filtered_out	-1	-1	0
338	338	A	457	10.24203	4.13944	831	FALSE	0	831	4.13944	831	247	6.51	-6.00E-04	filtered_out	-1	-1	0
339	339	A	321	13.90206	6.10624	1226	FALSE	0	1226	6.10624	1226	159	5.298	-0.0029	filtered_out	-1	-1	0
340	340	A	442	19.80677	3.56242	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
341	341	A	495	7.53154	3.35823	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
342	342	A	372	14.78818	8.92198	1791	TRUE	0	1791	8.92198	1791	453	8.515	-0.0011	filtered_out	-1	-1	0
343	343	A	489	16.89575	9.20684	1848	FALSE	0	1848	9.20684	1848	254	6.119	-0.0017	filtered_out	-1	-1	0
344	344	A	86	26.65969	11.88944	2387	FALSE	0	2387	11.88944	2387	268	5.532	-0.0018	filtered_out	-1	-1	0
345	345	A	279	17.43692	5.98506	1201	TRUE	0	1201	5.98506	1201	208	7.31	-0.0021	filtered_out	-1	-1	0
346	346	A	279	36.78586	5.42364	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
347	347	A	478	8.22576	6.08201	1221	TRUE	0	1221	6.08201	1221	321	7.382	-0.0017	filtered_out	-1	-1	0
348	348	A	170	9.97211	3.62185	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
